TMC,DISTANCE,AADT,NO_LANES,MEDWID,SPD_LIMT,SURF_WID,ACCESS,RTE_NBR,Facility_Type,Total,Fatal,Injury,PDO,Total_NonInt,Fatal_NonInt,Injury_NonInt,PDO_NonInt,SHD_WID,myState,OptSpd,SpdVarr1,SpdVarr1_wkd,SpdVarr1_wke,OptSpd_wkd,OptSpd_wke,SpdVarr2,SpdVarr3,SpdVarr4,SpdAvg,SpdCrash,SpdBefCr1,SpdBefCr2,SpdBefCr3,SpdBefCr4,SpdBefCrSD1,SpdBefCrSD2,SpdBefCrSD3,SpdBefCrSD4,SpdBefCrSim1,SpdBefCrSim2,SpdBefCrSim3,SpdBefCrSim4,SpdFF,L_of_Cuv,N_of_Cuv,MinRadius
122N06306,1.93582,14240,2,NA,NA,24,N,0068R,1_R2L,0,0,0,0,0,0,0,0,NA,OH,53.60732308,2.152612165,2.15266113,2.152920613,52.9958327,54.8736378,0.613518138,0.205043205,0.303136886,46.8990336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.60732308,0.06,4,954.9333333
122N06302,0.57865,9918.68363,2,NA,NA,25.26295902,N,0068R,1_R2L,0,0,0,0,0,0,0,0,NA,OH,49.2080315,1.140703927,1.140729874,1.140867378,48.44511628,50.77743744,1.246893463,0.343106017,0.634808754,39.00486764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.2080315,0,0,-1
122N06304,1.09945,7950,2,NA,NA,24,N,0068R,1_R2L,0,0,0,0,0,0,0,0,NA,OH,53.48675676,1.027467658,1.027491029,1.027614883,53.00919643,53.85061224,0.271224048,0.301124644,0.518093814,46.80640234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.48675676,0.26,2,520.8727273
122N06305,1.97854,7919.015759,2,NA,NA,24,N,0068R,1_R2L,0,0,0,0,0,0,0,0,NA,OH,55.9377801,1.380239438,1.380270834,1.380437213,55.75533464,56.08459843,0.425540252,0.288633085,0.470265227,48.3293727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.08459843,0.23,4,440.7384615
122N06479,4.52261,3156.11298,4,NA,NA,34.52610731,L,0062R,3_RMD,8,0,1,7,7,0,1,6,NA,OH,49.79020183,1.431962137,1.43199471,1.432167323,49.67879992,50.28228944,1.162008777,0.498780082,0.639156531,40.59746185,54.61921308,54.4624162,54.4624162,54.4624162,54.4624162,7.824223854,7.743676139,8.101844716,7.389204439,47.49629846,48.15331379,47.72697175,47.32963953,49.48752584,4.189999999,51,301.5578947
122N06413,3.96204,13030.40707,4,56,NA,48,L,0052R,3_RMD,6,0,2,4,6,0,2,4,NA,OH,56.77009334,1.286250811,1.286280069,1.286435118,56.15489764,58.93943802,0.605457402,0.293155288,0.474959948,47.24059141,52.12449313,61.51224824,61.51224824,61.51224824,61.51224824,10.70561202,7.607776075,8.535261588,7.978411723,55.46586049,56.22133442,56.65677855,56.75835445,56.67724535,0.76,8,716.2
122N06416,2.25705,5440.499467,2,NA,NA,20,N,0052R,1_R2L,3,0,1,2,3,0,1,2,NA,OH,54.45965147,1.713414838,1.713453813,1.713660353,54.1692,55.65328767,3.185330918,0.356156113,0.539104978,45.53179902,25.74038015,53.86013027,53.86013027,53.86013027,53.86013027,14.89676117,9.620771706,9.620771706,7.823918781,53.93685662,52.82092165,52.62062563,52.20400991,54.53275168,0.49,9,520.8727273
122N06312,5.12239,8680,2,NA,NA,24,N,0068R,1_R2L,8,0,3,5,8,0,3,5,NA,OH,45.94882597,3.795951942,3.796038288,3.796495864,45.70036251,47.02436771,0.732168688,0.297142896,1.528069638,36.27311854,40.54352215,48.23256903,48.23256903,48.23256903,48.23256903,14.38783388,11.69071976,10.80551025,10.74731762,44.72329496,43.36120681,42.59237585,43.90988541,46.33317588,0.74,7,440.7384615
122N06397,2.34562,15070,3,NA,NA,28.45613083,L,0027R,3_RMD,0,0,0,0,0,0,0,0,NA,OH,60.15481389,1.14131586,1.141341822,1.1414794,59.70233569,61.19008696,0.317844708,0.174678144,0.627104312,56.14302574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.00520605,0.25,1,1909.866667
122N06309,1.02248,6859,2,NA,NA,24,N,0068R,1_R2L,0,0,0,0,0,0,0,0,NA,OH,59.36980645,1.381532658,1.381564083,1.381730617,58.894848,59.36980645,0.387883301,0.260985813,0,55.20653861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.36980645,0.67,3,636.6222222
